id,component,material_category,design_code,design_name,finish,texture,color_family,application
1004,Kitchen Countertop,Stone,INT-11004,Oak Kitchen Countertop Style 1004,Polished,Stone,Oak,Dining
1005,Floor Tile,Tile,INT-11005,Ivory Floor Tile Style 1005,High Gloss,Pattern,Ivory,Lobby
1006,Wardrobe Finish,Laminate,INT-11006,Walnut Wardrobe Finish Style 1006,High Gloss,Concrete,Walnut,Living Room
1007,Wall Panel,Panel,INT-11007,Walnut Wall Panel Style 1007,Satin,Fabric,Walnut,Bathroom
1008,Wall Panel,Panel,INT-11008,White Wall Panel Style 1008,Satin,Concrete,White,Office
1009,Wood Flooring,Wood,INT-11009,Ivory Wood Flooring Style 1009,Matte,Woodgrain,Ivory,Bedroom
1010,Marble Flooring,Marble,INT-11010,White Marble Flooring Style 1010,Textured,Woodgrain,White,Lobby
1011,Chair Fabric,Fabric,INT-11011,Grey Chair Fabric Style 1011,Polished,Linear,Grey,Living Room
1012,Decor Panel,Panel,INT-11012,Navy Decor Panel Style 1012,High Gloss,Pattern,Navy,Living Room
1013,Wallpaper,Wallpaper,INT-11013,Blue Wallpaper Style 1013,Natural,Linear,Blue,Dining
1014,Chair Fabric,Fabric,INT-11014,Charcoal Chair Fabric Style 1014,Polished,Concrete,Charcoal,Kitchen
1015,Table Surface,Wood,INT-11015,Mustard Table Surface Style 1015,High Gloss,Linear,Mustard,Bedroom
1016,TV Unit Panel,Panel,INT-11016,Beige TV Unit Panel Style 1016,Satin,Woodgrain,Beige,Kitchen
1017,Wardrobe Panel,Panel,INT-11017,Sand Wardrobe Panel Style 1017,Polished,Woodgrain,Sand,Bedroom
1018,Chair Fabric,Fabric,INT-11018,Mahogany Chair Fabric Style 1018,High Gloss,Smooth,Mahogany,Living Room
1019,Sofa Fabric,Fabric,INT-11019,Mahogany Sofa Fabric Style 1019,Gloss,Marble,Mahogany,Living Room
1020,Wardrobe Finish,Laminate,INT-11020,Light Oak Wardrobe Finish Style 1020,Polished,Smooth,Light Oak,Lobby
1021,Wall Paint,Paint,INT-11021,Grey Wall Paint Style 1021,Satin,Marble,Grey,Kitchen
1022,TV Unit Panel,Panel,INT-11022,Grey TV Unit Panel Style 1022,Matte,Smooth,Grey,Living Room
1023,Wardrobe Panel,Panel,INT-11023,Yellow Wardrobe Panel Style 1023,Gloss,Stone,Yellow,Living Room
1024,Wall Paint,Paint,INT-11024,Oak Wall Paint Style 1024,Textured,Fabric,Oak,Bedroom
1025,Chair Fabric,Fabric,INT-11025,Navy Chair Fabric Style 1025,Gloss,Concrete,Navy,Kitchen
1026,Wardrobe Panel,Panel,INT-11026,White Wardrobe Panel Style 1026,Natural,Pattern,White,Dining
1027,Wall Panel,Panel,INT-11027,Black Wall Panel Style 1027,High Gloss,Linear,Black,Living Room
1028,Wall Paint,Paint,INT-11028,Blue Wall Paint Style 1028,Textured,Marble,Blue,Bedroom
1029,Chair Fabric,Fabric,INT-11029,Light Oak Chair Fabric Style 1029,Matte,Woodgrain,Light Oak,Bedroom
1030,Sofa Fabric,Fabric,INT-11030,Yellow Sofa Fabric Style 1030,Textured,Smooth,Yellow,Bedroom
1031,Kitchen Countertop,Stone,INT-11031,Light Oak Kitchen Countertop Style 1031,Polished,Woodgrain,Light Oak,Lobby
1032,Wardrobe Panel,Panel,INT-11032,Mahogany Wardrobe Panel Style 1032,Polished,Pattern,Mahogany,Bathroom
1033,Wood Flooring,Wood,INT-11033,Mahogany Wood Flooring Style 1033,Natural,Woodgrain,Mahogany,Kitchen
1034,Ceiling Panel,Panel,INT-11034,Terracotta Ceiling Panel Style 1034,Satin,Fabric,Terracotta,Living Room
1035,Ceiling Panel,Panel,INT-11035,Yellow Ceiling Panel Style 1035,Satin,Marble,Yellow,Bathroom
1036,TV Unit Panel,Panel,INT-11036,Terracotta TV Unit Panel Style 1036,High Gloss,Pattern,Terracotta,Lobby
1037,False Ceiling,Gypsum,INT-11037,Blue False Ceiling Style 1037,Matte,Woodgrain,Blue,Bathroom
1038,Kitchen Cabinet,Laminate,INT-11038,White Kitchen Cabinet Style 1038,Gloss,Marble,White,Bedroom
1039,Kitchen Cabinet,Laminate,INT-11039,Ivory Kitchen Cabinet Style 1039,Gloss,Linear,Ivory,Office
1040,Wall Panel,Panel,INT-11040,Red Wall Panel Style 1040,High Gloss,Stone,Red,Lobby
1041,Sofa Fabric,Fabric,INT-11041,Yellow Sofa Fabric Style 1041,Matte,Woodgrain,Yellow,Dining
1042,Glass Partition,Glass,INT-11042,Mustard Glass Partition Style 1042,Gloss,Pattern,Mustard,Kitchen
1043,Chair Fabric,Fabric,INT-11043,White Chair Fabric Style 1043,High Gloss,Marble,White,Kitchen
1044,Glass Partition,Glass,INT-11044,Yellow Glass Partition Style 1044,Satin,Pattern,Yellow,Living Room
1045,Wall Panel,Panel,INT-11045,Red Wall Panel Style 1045,Textured,Concrete,Red,Living Room
1046,Sofa Fabric,Fabric,INT-11046,Cream Sofa Fabric Style 1046,Satin,Smooth,Cream,Dining
1047,False Ceiling,Gypsum,INT-11047,Grey False Ceiling Style 1047,Textured,Stone,Grey,Bathroom
1048,Wood Flooring,Wood,INT-11048,Olive Wood Flooring Style 1048,Polished,Concrete,Olive,Bathroom
1049,Chair Fabric,Fabric,INT-11049,Olive Chair Fabric Style 1049,Textured,Stone,Olive,Bathroom
1050,Ceiling Panel,Panel,INT-11050,Mahogany Ceiling Panel Style 1050,Matte,Stone,Mahogany,Office
1051,Kitchen Countertop,Stone,INT-11051,Walnut Kitchen Countertop Style 1051,High Gloss,Marble,Walnut,Bathroom
1052,Marble Flooring,Marble,INT-11052,Beige Marble Flooring Style 1052,Matte,Pattern,Beige,Office
1053,Wood Flooring,Wood,INT-11053,Red Wood Flooring Style 1053,Natural,Fabric,Red,Dining
1054,Decor Panel,Panel,INT-11054,Black Decor Panel Style 1054,Polished,Woodgrain,Black,Lobby
1055,TV Unit Panel,Panel,INT-11055,Sand TV Unit Panel Style 1055,Textured,Marble,Sand,Bathroom
1056,Decor Panel,Panel,INT-11056,Mahogany Decor Panel Style 1056,Gloss,Fabric,Mahogany,Living Room
1057,Kitchen Cabinet,Laminate,INT-11057,Red Kitchen Cabinet Style 1057,Natural,Concrete,Red,Dining
1058,TV Unit Panel,Panel,INT-11058,Green TV Unit Panel Style 1058,Natural,Smooth,Green,Dining
1059,Kitchen Countertop,Stone,INT-11059,Olive Kitchen Countertop Style 1059,Satin,Stone,Olive,Living Room
1060,Kitchen Cabinet,Laminate,INT-11060,Green Kitchen Cabinet Style 1060,Matte,Smooth,Green,Lobby
1061,Wood Flooring,Wood,INT-11061,Green Wood Flooring Style 1061,Polished,Woodgrain,Green,Kitchen
1062,Table Surface,Wood,INT-11062,Red Table Surface Style 1062,Natural,Smooth,Red,Dining
1063,Wallpaper,Wallpaper,INT-11063,Oak Wallpaper Style 1063,Polished,Concrete,Oak,Living Room
1064,Wardrobe Finish,Laminate,INT-11064,Red Wardrobe Finish Style 1064,High Gloss,Pattern,Red,Bedroom
1065,False Ceiling,Gypsum,INT-11065,Green False Ceiling Style 1065,Gloss,Concrete,Green,Living Room
1066,TV Unit Panel,Panel,INT-11066,White TV Unit Panel Style 1066,Textured,Fabric,White,Lobby
1067,Glass Partition,Glass,INT-11067,White Glass Partition Style 1067,Textured,Pattern,White,Office
1068,Wall Panel,Panel,INT-11068,Oak Wall Panel Style 1068,Textured,Fabric,Oak,Office
1069,Wardrobe Panel,Panel,INT-11069,Black Wardrobe Panel Style 1069,Satin,Pattern,Black,Bathroom
1070,False Ceiling,Gypsum,INT-11070,Mahogany False Ceiling Style 1070,Textured,Pattern,Mahogany,Kitchen
1071,Wood Flooring,Wood,INT-11071,Light Oak Wood Flooring Style 1071,Gloss,Fabric,Light Oak,Bedroom
1072,Wall Panel,Panel,INT-11072,Beige Wall Panel Style 1072,Natural,Woodgrain,Beige,Dining
1073,Table Surface,Wood,INT-11073,Teak Table Surface Style 1073,Matte,Marble,Teak,Office
1074,Wardrobe Panel,Panel,INT-11074,Navy Wardrobe Panel Style 1074,Gloss,Concrete,Navy,Lobby
1075,Floor Tile,Tile,INT-11075,Ivory Floor Tile Style 1075,Satin,Smooth,Ivory,Bedroom
1076,Table Surface,Wood,INT-11076,Walnut Table Surface Style 1076,Polished,Marble,Walnut,Living Room
1077,Glass Partition,Glass,INT-11077,Yellow Glass Partition Style 1077,Polished,Marble,Yellow,Dining
1078,Wardrobe Finish,Laminate,INT-11078,Navy Wardrobe Finish Style 1078,Gloss,Marble,Navy,Living Room
1079,Wardrobe Panel,Panel,INT-11079,Charcoal Wardrobe Panel Style 1079,Satin,Stone,Charcoal,Kitchen
1080,Glass Partition,Glass,INT-11080,Teak Glass Partition Style 1080,Gloss,Woodgrain,Teak,Kitchen
1081,Marble Flooring,Marble,INT-11081,Light Oak Marble Flooring Style 1081,Matte,Marble,Light Oak,Office
1082,Wall Paint,Paint,INT-11082,Sand Wall Paint Style 1082,Textured,Concrete,Sand,Lobby
1083,Table Surface,Wood,INT-11083,Ivory Table Surface Style 1083,Matte,Fabric,Ivory,Bedroom
1084,Wood Flooring,Wood,INT-11084,Terracotta Wood Flooring Style 1084,Textured,Smooth,Terracotta,Lobby
1085,Sofa Fabric,Fabric,INT-11085,Terracotta Sofa Fabric Style 1085,Polished,Marble,Terracotta,Bathroom
1086,Wardrobe Finish,Laminate,INT-11086,Sand Wardrobe Finish Style 1086,Matte,Woodgrain,Sand,Bedroom
1087,Table Surface,Wood,INT-11087,Oak Table Surface Style 1087,Matte,Stone,Oak,Office
1088,Wood Flooring,Wood,INT-11088,White Wood Flooring Style 1088,High Gloss,Concrete,White,Bedroom
1089,Wall Paint,Paint,INT-11089,Walnut Wall Paint Style 1089,Satin,Woodgrain,Walnut,Bedroom
1090,Kitchen Cabinet,Laminate,INT-11090,Ivory Kitchen Cabinet Style 1090,Gloss,Woodgrain,Ivory,Living Room
1091,Kitchen Cabinet,Laminate,INT-11091,Grey Kitchen Cabinet Style 1091,Natural,Concrete,Grey,Bathroom
1092,Decor Panel,Panel,INT-11092,Cream Decor Panel Style 1092,Matte,Linear,Cream,Office
1093,Decor Panel,Panel,INT-11093,Light Oak Decor Panel Style 1093,Textured,Smooth,Light Oak,Lobby
1094,Wall Paint,Paint,INT-11094,Teak Wall Paint Style 1094,Textured,Marble,Teak,Bathroom
1095,Ceiling Panel,Panel,INT-11095,Red Ceiling Panel Style 1095,Matte,Linear,Red,Kitchen
1096,Glass Partition,Glass,INT-11096,Sand Glass Partition Style 1096,Natural,Linear,Sand,Dining
1097,Wall Panel,Panel,INT-11097,Red Wall Panel Style 1097,Matte,Fabric,Red,Dining
1098,Wallpaper,Wallpaper,INT-11098,Yellow Wallpaper Style 1098,Natural,Concrete,Yellow,Lobby
1099,Wall Paint,Paint,INT-11099,Terracotta Wall Paint Style 1099,Polished,Linear,Terracotta,Bathroom
1100,Decor Panel,Panel,INT-11100,Blue Decor Panel Style 1100,Textured,Woodgrain,Blue,Bathroom
1101,Glass Partition,Glass,INT-11101,White Glass Partition Style 1101,High Gloss,Linear,White,Kitchen
1102,Marble Flooring,Marble,INT-11102,Teak Marble Flooring Style 1102,Natural,Linear,Teak,Bedroom
1103,Wood Flooring,Wood,INT-11103,Charcoal Wood Flooring Style 1103,Matte,Woodgrain,Charcoal,Kitchen
1104,Kitchen Countertop,Stone,INT-11104,Green Kitchen Countertop Style 1104,Satin,Concrete,Green,Living Room
1105,Sofa Fabric,Fabric,INT-11105,Black Sofa Fabric Style 1105,High Gloss,Concrete,Black,Living Room
1106,TV Unit Panel,Panel,INT-11106,Beige TV Unit Panel Style 1106,Satin,Marble,Beige,Kitchen
1107,Kitchen Cabinet,Laminate,INT-11107,Beige Kitchen Cabinet Style 1107,Polished,Pattern,Beige,Living Room
1108,Table Surface,Wood,INT-11108,Green Table Surface Style 1108,Natural,Pattern,Green,Bathroom
1109,Glass Partition,Glass,INT-11109,Red Glass Partition Style 1109,Natural,Fabric,Red,Bedroom
1110,Glass Partition,Glass,INT-11110,Cream Glass Partition Style 1110,Natural,Smooth,Cream,Kitchen
1111,Wall Panel,Panel,INT-11111,Ivory Wall Panel Style 1111,Textured,Pattern,Ivory,Bathroom
1112,Kitchen Cabinet,Laminate,INT-11112,Mustard Kitchen Cabinet Style 1112,Polished,Stone,Mustard,Lobby
1113,Wallpaper,Wallpaper,INT-11113,Charcoal Wallpaper Style 1113,Satin,Smooth,Charcoal,Bathroom
1114,Wallpaper,Wallpaper,INT-11114,Light Oak Wallpaper Style 1114,Gloss,Marble,Light Oak,Bedroom
1115,Marble Flooring,Marble,INT-11115,Grey Marble Flooring Style 1115,Matte,Smooth,Grey,Lobby
1116,Wood Flooring,Wood,INT-11116,Beige Wood Flooring Style 1116,High Gloss,Concrete,Beige,Living Room
1117,Wall Panel,Panel,INT-11117,White Wall Panel Style 1117,Natural,Concrete,White,Bedroom
1118,Wood Flooring,Wood,INT-11118,Light Oak Wood Flooring Style 1118,Polished,Fabric,Light Oak,Dining
1119,Ceiling Panel,Panel,INT-11119,Light Oak Ceiling Panel Style 1119,Polished,Fabric,Light Oak,Office
1120,Floor Tile,Tile,INT-11120,Green Floor Tile Style 1120,Matte,Woodgrain,Green,Kitchen
1121,Wood Flooring,Wood,INT-11121,Cream Wood Flooring Style 1121,Natural,Woodgrain,Cream,Lobby
1122,Wall Panel,Panel,INT-11122,Oak Wall Panel Style 1122,Textured,Stone,Oak,Kitchen
1123,Kitchen Cabinet,Laminate,INT-11123,Olive Kitchen Cabinet Style 1123,Natural,Woodgrain,Olive,Living Room
1124,Wall Paint,Paint,INT-11124,Yellow Wall Paint Style 1124,Natural,Fabric,Yellow,Bedroom
1125,Wallpaper,Wallpaper,INT-11125,Yellow Wallpaper Style 1125,Natural,Concrete,Yellow,Lobby
1126,False Ceiling,Gypsum,INT-11126,Light Oak False Ceiling Style 1126,Matte,Woodgrain,Light Oak,Kitchen
1127,Kitchen Countertop,Stone,INT-11127,Walnut Kitchen Countertop Style 1127,Textured,Smooth,Walnut,Bedroom
1128,Wallpaper,Wallpaper,INT-11128,Green Wallpaper Style 1128,Polished,Marble,Green,Bedroom
1129,Wardrobe Finish,Laminate,INT-11129,Terracotta Wardrobe Finish Style 1129,Natural,Stone,Terracotta,Lobby
1130,Glass Partition,Glass,INT-11130,Teak Glass Partition Style 1130,Textured,Fabric,Teak,Kitchen
1131,Wall Panel,Panel,INT-11131,Red Wall Panel Style 1131,Polished,Woodgrain,Red,Kitchen
1132,Chair Fabric,Fabric,INT-11132,Charcoal Chair Fabric Style 1132,Polished,Woodgrain,Charcoal,Dining
1133,Glass Partition,Glass,INT-11133,Terracotta Glass Partition Style 1133,Matte,Linear,Terracotta,Office
1134,Kitchen Cabinet,Laminate,INT-11134,Green Kitchen Cabinet Style 1134,Gloss,Concrete,Green,Office
1135,Wardrobe Panel,Panel,INT-11135,Teak Wardrobe Panel Style 1135,Matte,Concrete,Teak,Bathroom
1136,Wall Panel,Panel,INT-11136,Black Wall Panel Style 1136,Natural,Stone,Black,Bathroom
1137,Wood Flooring,Wood,INT-11137,Sand Wood Flooring Style 1137,High Gloss,Linear,Sand,Kitchen
1138,Wardrobe Finish,Laminate,INT-11138,White Wardrobe Finish Style 1138,High Gloss,Marble,White,Kitchen
1139,Wall Paint,Paint,INT-11139,Grey Wall Paint Style 1139,High Gloss,Woodgrain,Grey,Bedroom
1140,Floor Tile,Tile,INT-11140,Teak Floor Tile Style 1140,High Gloss,Fabric,Teak,Office
1141,Wallpaper,Wallpaper,INT-11141,Green Wallpaper Style 1141,Matte,Fabric,Green,Bedroom
1142,Wall Paint,Paint,INT-11142,Yellow Wall Paint Style 1142,Matte,Stone,Yellow,Lobby
1143,Wood Flooring,Wood,INT-11143,Mustard Wood Flooring Style 1143,Satin,Smooth,Mustard,Bathroom
1144,Wardrobe Finish,Laminate,INT-11144,Olive Wardrobe Finish Style 1144,High Gloss,Marble,Olive,Office
1145,Wardrobe Finish,Laminate,INT-11145,Red Wardrobe Finish Style 1145,High Gloss,Fabric,Red,Bedroom
1146,Ceiling Panel,Panel,INT-11146,Charcoal Ceiling Panel Style 1146,Textured,Concrete,Charcoal,Bedroom
1147,Kitchen Cabinet,Laminate,INT-11147,Black Kitchen Cabinet Style 1147,Gloss,Linear,Black,Lobby
1148,Chair Fabric,Fabric,INT-11148,Light Oak Chair Fabric Style 1148,Satin,Woodgrain,Light Oak,Lobby
1149,Wallpaper,Wallpaper,INT-11149,Yellow Wallpaper Style 1149,Satin,Linear,Yellow,Kitchen
1150,Chair Fabric,Fabric,INT-11150,Beige Chair Fabric Style 1150,Matte,Woodgrain,Beige,Bedroom
1151,Wall Panel,Panel,INT-11151,Terracotta Wall Panel Style 1151,Satin,Fabric,Terracotta,Living Room
1152,Chair Fabric,Fabric,INT-11152,Yellow Chair Fabric Style 1152,Gloss,Fabric,Yellow,Bathroom
1153,Table Surface,Wood,INT-11153,Ivory Table Surface Style 1153,Gloss,Fabric,Ivory,Living Room
1154,Wood Flooring,Wood,INT-11154,Beige Wood Flooring Style 1154,Satin,Marble,Beige,Kitchen
1155,Kitchen Cabinet,Laminate,INT-11155,Beige Kitchen Cabinet Style 1155,Matte,Linear,Beige,Lobby
1156,Wardrobe Panel,Panel,INT-11156,Cream Wardrobe Panel Style 1156,Gloss,Pattern,Cream,Bedroom
1157,Wall Panel,Panel,INT-11157,Yellow Wall Panel Style 1157,Polished,Pattern,Yellow,Bedroom
1158,Marble Flooring,Marble,INT-11158,Yellow Marble Flooring Style 1158,Polished,Smooth,Yellow,Living Room
1159,Marble Flooring,Marble,INT-11159,Light Oak Marble Flooring Style 1159,Satin,Marble,Light Oak,Dining
1160,False Ceiling,Gypsum,INT-11160,Mustard False Ceiling Style 1160,High Gloss,Concrete,Mustard,Bedroom
1161,Wall Paint,Paint,INT-11161,Ivory Wall Paint Style 1161,Natural,Woodgrain,Ivory,Office
1162,Table Surface,Wood,INT-11162,Black Table Surface Style 1162,High Gloss,Concrete,Black,Kitchen
1163,Ceiling Panel,Panel,INT-11163,Olive Ceiling Panel Style 1163,Natural,Stone,Olive,Lobby
1164,Floor Tile,Tile,INT-11164,Red Floor Tile Style 1164,Polished,Marble,Red,Living Room
1165,Wall Panel,Panel,INT-11165,Blue Wall Panel Style 1165,High Gloss,Stone,Blue,Kitchen
1166,Decor Panel,Panel,INT-11166,Olive Decor Panel Style 1166,Textured,Pattern,Olive,Bedroom
1167,Kitchen Cabinet,Laminate,INT-11167,Teak Kitchen Cabinet Style 1167,Matte,Pattern,Teak,Kitchen
1168,Floor Tile,Tile,INT-11168,Sand Floor Tile Style 1168,High Gloss,Stone,Sand,Dining
1169,Wallpaper,Wallpaper,INT-11169,Blue Wallpaper Style 1169,High Gloss,Woodgrain,Blue,Dining
1170,Wallpaper,Wallpaper,INT-11170,Terracotta Wallpaper Style 1170,Natural,Concrete,Terracotta,Office
1171,Wood Flooring,Wood,INT-11171,Black Wood Flooring Style 1171,Satin,Woodgrain,Black,Lobby
1172,Sofa Fabric,Fabric,INT-11172,Oak Sofa Fabric Style 1172,Gloss,Pattern,Oak,Lobby
1173,Wallpaper,Wallpaper,INT-11173,Cream Wallpaper Style 1173,Textured,Woodgrain,Cream,Dining
1174,Floor Tile,Tile,INT-11174,Walnut Floor Tile Style 1174,Textured,Smooth,Walnut,Dining
1175,Kitchen Cabinet,Laminate,INT-11175,Grey Kitchen Cabinet Style 1175,High Gloss,Stone,Grey,Lobby
1176,Wall Panel,Panel,INT-11176,Walnut Wall Panel Style 1176,Polished,Fabric,Walnut,Office
1177,Wallpaper,Wallpaper,INT-11177,Yellow Wallpaper Style 1177,Matte,Marble,Yellow,Living Room
1178,Decor Panel,Panel,INT-11178,Blue Decor Panel Style 1178,Matte,Smooth,Blue,Living Room
1179,Wallpaper,Wallpaper,INT-11179,Blue Wallpaper Style 1179,Satin,Marble,Blue,Bathroom
1180,Ceiling Panel,Panel,INT-11180,Cream Ceiling Panel Style 1180,Polished,Woodgrain,Cream,Living Room
1181,Chair Fabric,Fabric,INT-11181,Cream Chair Fabric Style 1181,Natural,Linear,Cream,Lobby
1182,Sofa Fabric,Fabric,INT-11182,Walnut Sofa Fabric Style 1182,Matte,Woodgrain,Walnut,Office
1183,Wall Panel,Panel,INT-11183,Teak Wall Panel Style 1183,High Gloss,Marble,Teak,Bathroom
1184,TV Unit Panel,Panel,INT-11184,Light Oak TV Unit Panel Style 1184,Matte,Fabric,Light Oak,Bathroom
1185,Wallpaper,Wallpaper,INT-11185,White Wallpaper Style 1185,Matte,Smooth,White,Bedroom
1186,Ceiling Panel,Panel,INT-11186,Red Ceiling Panel Style 1186,Natural,Stone,Red,Bathroom
1187,False Ceiling,Gypsum,INT-11187,Charcoal False Ceiling Style 1187,Gloss,Fabric,Charcoal,Lobby
1188,Table Surface,Wood,INT-11188,Grey Table Surface Style 1188,High Gloss,Pattern,Grey,Office
1189,TV Unit Panel,Panel,INT-11189,Light Oak TV Unit Panel Style 1189,Matte,Fabric,Light Oak,Lobby
1190,Wall Paint,Paint,INT-11190,Ivory Wall Paint Style 1190,Polished,Fabric,Ivory,Office
1191,Marble Flooring,Marble,INT-11191,Oak Marble Flooring Style 1191,High Gloss,Pattern,Oak,Bedroom
1192,Sofa Fabric,Fabric,INT-11192,Green Sofa Fabric Style 1192,High Gloss,Stone,Green,Bedroom
1193,Wardrobe Panel,Panel,INT-11193,Walnut Wardrobe Panel Style 1193,Textured,Concrete,Walnut,Living Room
1194,Ceiling Panel,Panel,INT-11194,Grey Ceiling Panel Style 1194,Satin,Pattern,Grey,Bedroom
1195,Wallpaper,Wallpaper,INT-11195,Black Wallpaper Style 1195,High Gloss,Concrete,Black,Lobby
1196,Chair Fabric,Fabric,INT-11196,Sand Chair Fabric Style 1196,Matte,Woodgrain,Sand,Dining
1197,Wall Panel,Panel,INT-11197,Light Oak Wall Panel Style 1197,Polished,Smooth,Light Oak,Living Room
1198,Ceiling Panel,Panel,INT-11198,Walnut Ceiling Panel Style 1198,Polished,Stone,Walnut,Bathroom
1199,Sofa Fabric,Fabric,INT-11199,Terracotta Sofa Fabric Style 1199,Satin,Concrete,Terracotta,Office
1200,Glass Partition,Glass,INT-11200,Red Glass Partition Style 1200,High Gloss,Smooth,Red,Lobby
1201,Wood Flooring,Wood,INT-11201,Mustard Wood Flooring Style 1201,High Gloss,Woodgrain,Mustard,Living Room
1202,Wall Paint,Paint,INT-11202,Mustard Wall Paint Style 1202,Polished,Woodgrain,Mustard,Bedroom
1203,Kitchen Cabinet,Laminate,INT-11203,Mahogany Kitchen Cabinet Style 1203,Gloss,Fabric,Mahogany,Living Room
1204,Table Surface,Wood,INT-11204,Beige Table Surface Style 1204,Textured,Pattern,Beige,Bathroom
1205,Wardrobe Finish,Laminate,INT-11205,Olive Wardrobe Finish Style 1205,Satin,Pattern,Olive,Bathroom
1206,Glass Partition,Glass,INT-11206,Mustard Glass Partition Style 1206,Matte,Pattern,Mustard,Lobby
1207,TV Unit Panel,Panel,INT-11207,White TV Unit Panel Style 1207,Natural,Smooth,White,Bathroom
1208,TV Unit Panel,Panel,INT-11208,Grey TV Unit Panel Style 1208,Matte,Stone,Grey,Office
1209,False Ceiling,Gypsum,INT-11209,Ivory False Ceiling Style 1209,Satin,Linear,Ivory,Bathroom
1210,Wall Panel,Panel,INT-11210,Yellow Wall Panel Style 1210,Polished,Smooth,Yellow,Living Room
1211,False Ceiling,Gypsum,INT-11211,Charcoal False Ceiling Style 1211,Polished,Linear,Charcoal,Dining
1212,Kitchen Cabinet,Laminate,INT-11212,Sand Kitchen Cabinet Style 1212,High Gloss,Pattern,Sand,Kitchen
1213,Marble Flooring,Marble,INT-11213,Mahogany Marble Flooring Style 1213,Textured,Woodgrain,Mahogany,Office
1214,Wood Flooring,Wood,INT-11214,Grey Wood Flooring Style 1214,Textured,Pattern,Grey,Dining
1215,Sofa Fabric,Fabric,INT-11215,Blue Sofa Fabric Style 1215,Textured,Concrete,Blue,Living Room
1216,Floor Tile,Tile,INT-11216,Black Floor Tile Style 1216,Matte,Marble,Black,Bathroom
1217,Wardrobe Finish,Laminate,INT-11217,Teak Wardrobe Finish Style 1217,Textured,Pattern,Teak,Kitchen
1218,Wall Panel,Panel,INT-11218,Beige Wall Panel Style 1218,Matte,Concrete,Beige,Kitchen
1219,Wardrobe Finish,Laminate,INT-11219,Terracotta Wardrobe Finish Style 1219,Polished,Fabric,Terracotta,Living Room
1220,Wardrobe Panel,Panel,INT-11220,Green Wardrobe Panel Style 1220,Textured,Smooth,Green,Kitchen
1221,False Ceiling,Gypsum,INT-11221,Sand False Ceiling Style 1221,Satin,Woodgrain,Sand,Dining
1222,Wood Flooring,Wood,INT-11222,Ivory Wood Flooring Style 1222,Matte,Woodgrain,Ivory,Kitchen
1223,Wood Flooring,Wood,INT-11223,Mahogany Wood Flooring Style 1223,Textured,Linear,Mahogany,Bathroom
1224,Wall Paint,Paint,INT-11224,Olive Wall Paint Style 1224,High Gloss,Woodgrain,Olive,Bathroom
1225,Chair Fabric,Fabric,INT-11225,Olive Chair Fabric Style 1225,Matte,Marble,Olive,Living Room
1226,Wardrobe Panel,Panel,INT-11226,Beige Wardrobe Panel Style 1226,Natural,Fabric,Beige,Office
1227,Wall Paint,Paint,INT-11227,Mahogany Wall Paint Style 1227,Matte,Concrete,Mahogany,Bedroom
1228,Wardrobe Panel,Panel,INT-11228,Red Wardrobe Panel Style 1228,Gloss,Linear,Red,Bathroom
1229,Wardrobe Finish,Laminate,INT-11229,Green Wardrobe Finish Style 1229,Natural,Smooth,Green,Bathroom
1230,Marble Flooring,Marble,INT-11230,Grey Marble Flooring Style 1230,Natural,Marble,Grey,Living Room
1231,Glass Partition,Glass,INT-11231,Mahogany Glass Partition Style 1231,Natural,Concrete,Mahogany,Bedroom
1232,Wall Paint,Paint,INT-11232,Ivory Wall Paint Style 1232,Polished,Pattern,Ivory,Living Room
1233,Wallpaper,Wallpaper,INT-11233,Mustard Wallpaper Style 1233,Natural,Linear,Mustard,Office
1234,TV Unit Panel,Panel,INT-11234,Red TV Unit Panel Style 1234,Natural,Linear,Red,Bathroom
1235,Floor Tile,Tile,INT-11235,Terracotta Floor Tile Style 1235,Matte,Woodgrain,Terracotta,Dining
1236,False Ceiling,Gypsum,INT-11236,Mustard False Ceiling Style 1236,Textured,Marble,Mustard,Bedroom
1237,Wall Panel,Panel,INT-11237,Light Oak Wall Panel Style 1237,Gloss,Marble,Light Oak,Lobby
1238,Ceiling Panel,Panel,INT-11238,Teak Ceiling Panel Style 1238,Polished,Smooth,Teak,Lobby
1239,TV Unit Panel,Panel,INT-11239,Navy TV Unit Panel Style 1239,High Gloss,Fabric,Navy,Dining
1240,Table Surface,Wood,INT-11240,Olive Table Surface Style 1240,Matte,Fabric,Olive,Bedroom
1241,Wall Paint,Paint,INT-11241,Beige Wall Paint Style 1241,Natural,Fabric,Beige,Bathroom
1242,Wall Paint,Paint,INT-11242,Mustard Wall Paint Style 1242,Matte,Smooth,Mustard,Bedroom
1243,Chair Fabric,Fabric,INT-11243,Walnut Chair Fabric Style 1243,Satin,Concrete,Walnut,Living Room
1244,Table Surface,Wood,INT-11244,Yellow Table Surface Style 1244,High Gloss,Stone,Yellow,Lobby
1245,Kitchen Cabinet,Laminate,INT-11245,Yellow Kitchen Cabinet Style 1245,High Gloss,Marble,Yellow,Bathroom
1246,Wardrobe Finish,Laminate,INT-11246,Teak Wardrobe Finish Style 1246,High Gloss,Concrete,Teak,Dining
1247,Wall Panel,Panel,INT-11247,Beige Wall Panel Style 1247,High Gloss,Linear,Beige,Bathroom
